"id";"a";"b";"c";"d";"response";"question";"choice1";"choice2";"choice3";"choice4";"choice5"
"27";"1.88103593146188";"-0.055494535172864";"0.0516621163765331";"1";"1";"Que jogador da seleção brasileira foi homenageado pela empresa Lacta, através do seu apelido 'Diamante Negro'?";"Leônidas da Silva";"Domingos da Guia";"Garrincha";"Petronilho de Brito";"Oswaldo Gomes"
"28";"0.643333488908606";"1.68693483696564";"0.00204131070296269";"1";"4";"Qual foi o 1º técnico da seleção argentina a conquistar um título mundial na Copa do Mundo da Fifa em 1978?";"Renat Cesarini";"José Minella";"Horácio Torres";"César Menotti";"Alexandro Galán"
"29";"1.42860212316704";"0.816571028974258";"0.152193492763115";"1";"2";"Em qual ano o time do Juventude do RS foi campeão da Copa do Brasil?";"1990";"1999";"2007";"2010";"2001"
"30";"0.903517236095438";"0.285357412550201";"0.0000059144419693371";"1";"4";"Quais eram as cores do uniforme da seleção brasileira até a Copa de 1950, quando o Brasil foi então derrotado pelo Uruguai em pleno Maracanã?";"Amarelo e azul";"Azul, branco, amarelo e verde";"Branco e amarelo";"Azul e branco";"Branco, amarelo e verde"
"31";"1.47564551629027";"-0.159761402141108";"0.0000004547214058517";"1";"5";"Em quais anos o Brasil conquistou as Copas do Mundo?";"1950, 1966, 1970, 1994 e 2002";"1958, 1966, 1970, 1994 e 2002";"1954, 1962, 1970, 1994 e 2002";"1958. 1962, 1974, 1994 e 2002";"1958, 1962, 1970, 1994 e 2002"
"32";"2.32831131470659";"-0.985757870120402";"0.0000136509053941651";"1";"2";"Qual é o maior rival argentino do Clube Atlético Boca Juniors, conhecido como 'El Superclásico'?";"Club Atlético Colón";"Atlético River Plate";"Racing Club de Avellaneda";"Asociación Atlética Argentinos Juniors";"Club Atlético San Lorenzo de Almagro"
"33";"1.56942320215598";"-1.24958549632495";"0.00000272106849585325";"1";"3";"Quem era o capitão da seleção Brasileira na Copa do mundo de 2002?";"Lúcio";"Ronaldo";"Cafu";"Rivaldo";"Roberto Carlos"
"34";"0.873124607783498";"0.785757351003889";"0.000002747869928822";"1";"1";"Quais os maiores rivais do Queens Park Rangers F.C. , da Inglaterra?";"Chelsea e Fulham";"Chelsea e Barcelona";"Fulham e Arsenal";"Arsenal e Juventus";"Barcelona e Manchester City"
"35";"2.61500305386843";"1.71674362354695";"0.151063820462374";"1";"4";"A Seleção Uruguaia foi conhecida no início do século XX como Celeste Olímpica, devido aos títulos das Olimpíadas de:";"1930 e 1950";"1928 e 1950";"1932 e 1936";"1924 e 1928";"1920 e 1924"
"36";"3.1051768083767";"1.1935482377339";"0.193743525870202";"1";"3";"Quais os três maiores vencedores da UEFA (Union of European Football Associations) Champions League respectivamente?";"Juventus/ Milan/ Bayern de Munique";"Liverpool/ Ajax/ Juventus";"Real Madrid/ Milan/ Liverpool";"Barcelona/ Real Madrid/ Milan";"Barcelona / Inter de Milão/ Real Madrid"
"37";"2.57000228064572";"0.263787186211057";"0.137971505485646";"1";"4";"Quais são as principais cores do uniforme do Clube Náutico Capibaribe (Pernambuco) ?";"Azul e Branco";"Preto, Branco e vermelho";"Vermelho e Preto";"Vermelho e Branco";"Verde e Branco"
"38";"1.15705337310981";"0.898555092284185";"0.0850968148528239";"1";"2";"Que ano a seleção Italiana foi campeã pela primeira vez em uma Copa do Mundo da FIFA?";"1954";"1934";"1990";"1978";"1970"
"39";"2.72407434169796";"-1.26450487941743";"0.00000544504355873608";"1";"2";"Qual o Mascote do Clube Atlético Mineiro?";"Galinha";"Galo";"Cartolinha";"Gralha Azul";"Peixe"
"40";"1.52642377111911";"-0.756648259590417";"0.00000127865569925399";"1";"4";"Em que ano a Seleção Brasileira conquistou o título de tetracampeã?";"2006";"2002";"1998";"1994";"1990"
"41";"2.79264761666069";"-0.78056226032658";"0.0604387291654254";"1";"5";"Qual destes técnicos brasileiros já esteve à frente da seleção portuguesa?";"Zico";"Parreira";"Muricy Ramalho";"Dunga";"Felipão"
"42";"1.04487678633007";"0.331537453621639";"0.10034161413492";"1";"1";"Qual é o time com mais títulos no Campeonato Espanhol, conhecido também como La Liga ou Liga BBVA?";"Real Madrid";"Atlético de Madrid";"Valência";"Barcelona";"Sevilla"
"43";"1.2394710057532";"2.03422775368246";"0.0336330651542411";"1";"5";"O primeiro ranking da FIFA foi divulgado em 13 de agosto de 1993 e levou em conta os oito melhores resultados de cada equipe nos últimos 12 meses. A estreia abrangeu o período entre julho de 1992 a julho de 1993. A primeira seleção a liderar o ranking da FIFA foi a?";"Seleção da Itália";"Seleção do Brasil";"Seleção da Argentina";"Seleção da Inglaterra";"Seleção da Alemanha"
"44";"1.3669639168238";"1.0136013262934";"0.206610631049479";"1";"3";"Quem é o maior rival do ABC Futebol Clube do RN?";"ASA";"Vila nova";"América";"Fortaleza";"Bahia"
"45";"2.30327528252104";"0.615012085701929";"0.244956467106471";"1";"3";"Em que ano a seleção da Coréia do Sul ficou em quarto lugar na copa mundial?";"1994";"1998";"2002";"2006";"2010"
"46";"1.87293027398954";"0.955400684098984";"0.189224768352062";"1";"4";"Qual figura está no brasão do time Colo-Colo, do Chile?";"Machado";"Cocar";"Arco e flecha";"Índio";"Lança"
"47";"1.70631909224701";"-0.048265330918003";"0.0158461638313034";"1";"4";"Qual foi o país sede da primeira Copa do Mundo de futebol que o Brasil ganhou?";"México";"Argentina";"Estados Unidos";"Suécia";"África do Sul"
"48";"1.51063046529951";"-0.741990987551928";"0.00000436996464502225";"1";"4";"Quais foram os dois técnicos brasileiros que já atuaram como técnicos da seleção do Japão?";"Falcão e Zico";"Falcão e Parreira";"Falcão e Felipão";"Felipão e Zico";"Parreira e Felipão"
"49";"2.15428109908724";"0.784185931196648";"0.173978908449902";"1";"3";"Qual o único time que ganhou um Campeonato Brasileiro invicto?";"Corinthians";"Flamengo";"Internacional";"Santos";"Cruzeiro"
"50";"0.931517596232057";"0.465120063539191";"0.00000346571992297973";"1";"4";"Quem é o jogador que mais atuou pela seleção brasileira ?";"Pelé";"Zico";"Ronaldo";"Cafu";"Lucio"
"51";"2.78511306440005";"-0.517295317864338";"0.076832832411698";"1";"4";"Quais times, em sequência, tem como mascotes os seguintes animais: Raposa, Urubu-rei e Tubarão?";"Cruzeiro (MG), Botafogo (RJ) e Bragantino (PA)";"Atlético (MG), Flamengo (PI) e Fortaleza (CE)";"Mogi-Mirim (SP), Ceará (CE) e Figueirense (SC)";"Cruzeiro (MG), Flamengo (RJ) e Londrina (PR)";"Brasil de Pelotas (RS), Londrina (PR) e Figueirense (SC)"
"52";"2.93466890786767";"0.121013748216597";"0.226832031579773";"1";"3";"Qual equipe do futebol mundial tem o mesmo treinador desde 6 de novembro de 1986 e que anunciou sua aposentadoria no ano de 2013?";"Porto (Portugal)";"Juventus (Itália)";"Manchester United (Inglaterra)";"Real Madrid (Espanha)";"Paris Saint Germain (França)"
"53";"0.783376530007076";"0.0938745232879069";"0.0000847942598556983";"1";"3";"Qual time de futebol português que antes de cada partida em casa tem uma águia-de-cabeça-branca (chamada Vitória) que voa em torno de seu estádio e pousa sobre o brasão do time?";"Porto";"Nacional";"Benfica";"Braga";"Sporting"
"54";"2.31472392383746";"-0.936382606978778";"0.0000042190342456186";"1";"2";"Quais foram os campeões da Copa do Mundo de 2002, 2006 e 2010 respectivamente?";"Alemanha, França e Holanda";"Brasil , Itália e Espanha";"Inglaterra, Itália e Holanda";"Brasil, Espanha e Itália";"Argentina, Holanda e Inglaterra"
"55";"2.19641601822038";"0.100615927189225";"0.128560452550184";"1";"2";"Qual foi o clube campeão do campeonato brasileiro de futebol em 2012?";"Corinthians";"Fluminense";"Flamengo";"Atlético Mineiro";"Internacional"
"56";"1.18954241081546";"-0.035721640157322";"0.00000112069065090142";"1";"5";"Qual foi a única seleção do continente africano a chegar as quartas de finais na Copa do Mundo de 2010?";"Egito";"Senegal";"Congo";"África do Sul";"Gana"
"57";"3.40760954322201";"-0.345800862262566";"0.0900846365269689";"1";"4";"A final da liga dos campeões da Europa de 2013 será disputada entre clubes de mesmo país. Quais são os clubes e seu país de origem, respectivamente?";"CSKA vs Zenit - Rússia";"Milan vs Juventus -Itália";"Barcelona vs Atlético de Madri - Espanha";"Borusia Dortmond vs Bayern de Munique - Alemanha";"Lion vs Paris Saint German - França"
"58";"2.61561059142366";"-0.224556341590209";"0.0971705274111573";"1";"4";"Qual seleção foi derrotada pela seleção brasileira na final da Copa do Mundo de 2002?";"Uruguai";"França";"Itália";"Alemanha";"Argentina"
"59";"2.27043785235373";"-0.746664267140171";"0.0000214763315027186";"1";"1";"Qual a principal conquista do Coritiba Futebol Clube?";"Campeonato Brasileiro";"Campeonato Paranaense";"Copa Sul-Minas";"Campeonato Regional";"Liga do Brasil"
"60";"2.20608507623008";"-0.369535579945295";"0.0554483457875344";"1";"4";"Qual foi o grupo da seleção brasileira na copa de 2010 realizada na África do Sul?";"Itália, China, Holanda";"Holanda, Nigéria, Argentina";"Alemanha, Inglaterra, França";"Portugal, Costa do Marfim, Coréia do Norte";"Suíça, Rússia, Grécia"
"61";"1.15163855933605";"0.741461600559623";"0.000000873377914232427";"1";"4";"Qual foi o jogador mais caro já contratado por um clube brasileiro?";"Clarence Seedorf (Botafogo)";"Ronaldo 'Fenômeno'  (Corinthians)";"Ronaldinho Gaúcho (Flamengo)";"Alexandre 'Pato' (Corinthians)";"Hernán Barcos (Grêmio)"
"62";"2.28594959773689";"0.306507710680013";"0.0935623569308509";"1";"4";"Quem foi o campeão da UEFA Champions League da temporada 2011/2012?";"Manchester United";"Real Madrid";"Bayern de Monique";"Chelsea";"Barcelona"
"63";"2.67991981509983";"0.493377497258554";"0.0418418361499008";"1";"5";"Quem era o técnico da seleção espanhola na Copa do Mundo em 2010?";"Javier Clemente";"José Mourinho";"Josep Guardiola";"Luis Aragonés";"Vicente del Bosque"
